B3KN29,PRA1,family,protein,,,,,,,,,,,,,,,,,,
G3V3A0,Alpha-1-antichymotrypsin,,,,,,,,,,,,,,,,,,,,
A0A024R9Q1,Thrombospondin,"1,",isoform,CRA_a,,,,,,,,,,,,,,,,,
D6RAL1,Ribosome-releasing,factor,"2,",mitochondrial,(Fragment),,,,,,,,,,,,,,,,
A0A087WV46,Ragulator,complex,protein,LAMTOR4,,,,,,,,,,,,,,,,,
E9PLW3,Testis-expressed,basic,protein,1,,,,,,,,,,,,,,,,,
Q9P1N9,PRO0785,,,,,,,,,,,,,,,,,,,,
K7EM56,40S,ribosomal,protein,S15,,,,,,,,,,,,,,,,,
Q59FD0,Huntingtin,interacting,protein-1-related,(Fragment),,,,,,,,,,,,,,,,,
Q96I49,GALNS,protein,(Fragment),,,,,,,,,,,,,,,,,,
D3GKD8,A-gamma,globin,Osilo,variant,,,,,,,,,,,,,,,,,
B3KTA8,cDNA,FLJ37971,"fis,",clone,"CTONG2009958,",highly,similar,to,CERULOPLASMIN,,,,,,,,,,,,
Q68GS6,Epidermal,growth,factor,receptor,(Fragment),,,,,,,,,,,,,,,,
A8K4T6,cDNA,"FLJ76282,",highly,similar,to,Homo,sapiens,proteasome,"(prosome,",macropain),26S,"subunit,","non-ATPase,",5,"(PSMD5),",mRNA,,,,,
A8K651,cDNA,"FLJ75700,",highly,similar,to,Homo,sapiens,complement,component,"1,",q,subcomponent,binding,protein,"(C1QBP),",nuclear,gene,encoding,mitochondrial,"protein,",mRNA
B2R6L0,Tubulin,beta,chain,,,,,,,,,,,,,,,,,,
B2R950,"cDNA,","FLJ94213,",highly,similar,to,Homo,sapiens,pregnancy-zone,protein,"(PZP),",mRNA,,,,,,,,,,
Q9UM02,Prolyl,endopeptidase,,,,,,,,,,,,,,,,,,,
X6R717,Putative,pre-mRNA-splicing,factor,ATP-dependent,RNA,helicase,DHX32,,,,,,,,,,,,,,
E9PHY5,Band,4.1-like,protein,2,,,,,,,,,,,,,,,,,
F5GWA7,Prohibitin,(Fragment),,,,,,,,,,,,,,,,,,,
H0YFI1,Ragulator,complex,protein,LAMTOR1,(Fragment),,,,,,,,,,,,,,,,
H0YK42,Sorting,nexin-1,,,,,,,,,,,,,,,,,,,
O95218,Zinc,finger,Ran-binding,domain-containing,protein,2,,,,,,,,,,,,,,,
P05089,Arginase-1,,,,,,,,,,,,,,,,,,,,
P98066,Tumor,necrosis,factor-inducible,gene,6,protein,,,,,,,,,,,,,,,
Q0Z7N0,Cytochrome,c,oxidase,subunit,1,,,,,,,,,,,,,,,,
Q13501,Sequestosome-1,,,,,,,,,,,,,,,,,,,,
Q29RX9,MTNR1A,protein,(Fragment),,,,,,,,,,,,,,,,,,
Q5U000,Cathepsin,Z,,,,,,,,,,,,,,,,,,,
Q6ZTB9,Putative,zinc,finger,protein,833,,,,,,,,,,,,,,,,
Q7Z406,Myosin-14,,,,,,,,,,,,,,,,,,,,
